MI[0, 0, 1, 1, 0, 0, 0, 0, 0]
MI[1, 1, 1, 0, 0, 0, 0, 0, 0]
MI[1, -1, 0, 1, 1, 0, 0, 0, 0]
MI[1, 0, 0, 1, 1, 0, 0, 0, 0]
MI[-2, 0, 1, 1, 0, 0, 1, 0, 0]
MI[0, 0, 1, 1, 0, 0, 1, 0, 0]
MI[0, 0, 0, 1, 1, 0, 1, 0, 0]
MI[-2, 0, 0, 0, 1, 1, 1, 0, 0]
MI[0, 0, 0, 0, 1, 1, 1, 0, 0]
MI[1, 1, 1, 1, -1, 0, 0, 0, 0]
MI[1, 1, 1, 1, 0, 0, 0, 0, 0]
MI[1, 0, 1, 1, 1, 0, 0, 0, 0]
MI[1, 1, 1, 0, 0, 0, 1, 0, 0]
MI[1, 0, 1, 1, 0, 0, 1, 0, 0]
MI[1, -1, 0, 1, 1, 0, 1, 0, 0]
MI[1, 0, 0, 1, 1, 0, 1, 0, 0]
MI[0, 0, 1, 1, 1, 0, 1, 0, 0]
MI[1, 0, 0, 0, 1, 1, 1, 0, 0]
MI[0, 0, 1, 0, 1, 1, 1, 0, 0]
MI[1, 1, 1, 1, 1, 0, 0, 0, 0]
MI[1, 0, 1, 1, 1, 1, 0, 0, 0]
MI[1, 1, 1, 1, -2, 0, 1, 0, 0]
MI[1, 1, 1, 1, -1, 0, 1, 0, 0]
MI[1, 1, 1, 1, 0, 0, 1, 0, 0]
MI[1, -1, 1, 1, 1, 0, 1, 0, 0]
MI[1, 0, 1, 1, 1, -1, 1, 0, 0]
MI[1, 0, 1, 1, 1, 0, 1, -1, 0]
MI[1, 0, 1, 1, 1, 0, 1, 0, 0]
MI[1, 1, -2, 0, 1, 1, 1, 0, 0]
MI[1, 1, -1, 0, 1, 1, 1, 0, 0]
MI[1, 1, 0, 0, 1, 1, 1, 0, 0]
MI[-1, 1, 1, 0, 1, 1, 1, 0, 0]
MI[0, 1, 1, -1, 1, 1, 1, 0, 0]
MI[0, 1, 1, 0, 1, 1, 1, -1, 0]
MI[0, 1, 1, 0, 1, 1, 1, 0, 0]
MI[-2, 0, 1, 1, 1, 1, 1, 0, 0]
MI[-1, -1, 1, 1, 1, 1, 1, 0, 0]
MI[-1, 0, 1, 1, 1, 1, 1, 0, 0]
MI[0, 0, 1, 1, 1, 1, 1, 0, 0]
MI[1, 1, 1, 1, 1, 1, -2, 0, 0]
MI[1, 1, 1, 1, 1, 1, 0, 0, 0]
MI[1, 1, 1, 1, 1, -1, 1, 0, 0]
MI[1, 1, 1, 1, 1, 0, 1, 0, 0]
MI[1, 1, 1, -1, 1, 1, 1, 0, 0]
MI[1, 1, 1, 0, 1, 1, 1, 0, 0]
MI[1, -2, 1, 1, 1, 1, 1, 0, 0]
MI[1, -1, 1, 1, 1, 1, 1, 0, 0]
MI[1, 0, 1, 1, 1, 1, 1, -1, 0]
MI[1, 0, 1, 1, 1, 1, 1, 0, 0]
MI[1, 1, 1, 1, 1, 1, 1, -3, 0]
MI[1, 1, 1, 1, 1, 1, 1, -2, 0]
MI[1, 1, 1, 1, 1, 1, 1, -1, -1]
MI[1, 1, 1, 1, 1, 1, 1, -1, 0]
MI[1, 1, 1, 1, 1, 1, 1, 0, 0]
